author,author_type,location,deal_type,accommodation_type,floors_count,rooms_count,total_meters,price,district,underground,price_per_meter,availability_underground
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,254.3,659780027.0,Арбат,Смоленская,2594495,True
Whitewill,real_estate_agent,Москва,sale,flat,8,4,286.5,1300000000.0,Хамовники,Кропоткинская,4537522,True
Парадайс,real_estate_agent,Москва,sale,flat,9,4,62.8,10990000.0,Матушкино,Зеленоград — Крюково,175000,True
Homeapp,real_estate_agent,Москва,sale,flat,9,4,62.2,15500000.0,Чертаново Центральное,Пражская,249196,True
ФСК Агент,real_estate_agent,Москва,sale,flat,16,4,103.4,20000000.0,Южное Бутово,Улица Скобелевская,193424,True
Самолет Плюс Москва,real_estate_agent,Москва,sale,flat,25,4,92.6,25500000.0,Кунцево,Павшино,275378,True
Макспол Парк Культуры,real_estate_agent,Москва,sale,flat,15,4,91.0,26000000.0,Ховрино,Грачёвская,285714,True
ГОРОДА,real_estate_agent,Москва,sale,flat,16,4,89.4,26000000.0,Митино,Волоколамская,290828,True
Этажи Москва,real_estate_agent,Москва,sale,flat,21,4,100.5,30000000.0,Коньково,Калужская,298507,True
ЛэндЛ,real_estate_agent,Москва,sale,flat,13,4,82.6,30000000.0,Таганский,Чкаловская,363196,True
Место,real_estate_agent,Москва,sale,flat,32,4,120.0,34700000.0,Бутырский,Бутырская,289167,True
Московский Квартал,real_estate_agent,Москва,sale,flat,8,4,105.0,34999990.0,Дорогомилово,Студенческая,333333,True
EstateLiga,real_estate_agent,Москва,sale,flat,37,4,96.1,35000000.0,Раменки,Аминьевская,364204,True
Villagio Realty,real_estate_agent,Москва,sale,flat,6,4,101.0,36000000.0,Даниловский,Автозаводская,356436,True
CENTURY 21 RnB Estate,real_estate_agent,Москва,sale,flat,17,4,115.0,37000000.0,Тропарево-Никулино,Озёрная,321739,True
MadeState,real_estate_agent,Москва,sale,flat,26,4,84.3,37000000.0,Хорошево-Мневники,Шелепиха,438909,True
ГОРОДА,real_estate_agent,Москва,sale,flat,7,4,102.7,38000000.0,Северное Бутово,Бульвар Дмитрия Донского,370010,True
СЕДЬМОЕ НЕБО,real_estate_agent,Москва,sale,flat,11,4,107.0,38000000.0,Останкинский,Алексеевская,355140,True
ФСК Агент,real_estate_agent,Москва,sale,flat,29,4,100.0,38000000.0,Нагатино-Садовники,Нагатинская,380000,True
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,18,4,96.3,40500000.0,Даниловский,Технопарк,420561,True
ФСК Агент,real_estate_agent,Москва,sale,flat,28,4,90.0,40500000.0,Нагатино-Садовники,Нагатинская,450000,True
PEOPLE,real_estate_agent,Москва,sale,flat,16,4,95.4,40300000.0,Хорошево-Мневники,Народное Ополчение,422432,True
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,6,4,95.4,41000000.0,Басманный,Бауманская,429769,True
Romanov Estate,real_estate_agent,Москва,sale,flat,56,4,113.4,41999999.0,Раменки,Минская,370370,True
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,9,4,88.0,42350000.0,Очаково-Матвеевское,Аминьевская,481250,True
ID 53510252,official_representative,Москва,sale,flat,25,4,122.4,42500000.0,Хорошево-Мневники,Народное Ополчение,347222,True
ФСК Агент,real_estate_agent,Москва,sale,flat,29,4,99.8,43500000.0,Нагатино-Садовники,Нагатинская,435872,True
Homeapp,real_estate_agent,Москва,sale,flat,25,4,110.9,44500000.0,Хорошевский,Беговая,401262,True
ID 102264,realtor,Москва,sale,flat,19,4,130.0,44900000.0,Соколиная гора,Семёновская,345385,True
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,18,4,102.1,46000000.0,Даниловский,Технопарк,450539,True
Виктория Квашнина,realtor,Москва,sale,flat,30,4,134.0,46000000.0,Можайский,Давыдково,343284,True
Времена года,real_estate_agent,Москва,sale,flat,15,4,103.1,48700000.0,Раменки,Раменки,472357,True
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,9,4,89.0,49500000.0,Очаково-Матвеевское,Аминьевская,556180,True
Homeapp,real_estate_agent,Москва,sale,flat,22,4,139.0,49679000.0,Можайский,Рабочий посёлок,357403,True
MadeState,real_estate_agent,Москва,sale,flat,34,4,122.0,50000000.0,Обручевский,not available,409836,False
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,8,4,107.0,50000000.0,Арбат,Смоленская,467290,True
MadeState,real_estate_agent,Москва,sale,flat,6,4,91.0,50000000.0,Пресненский,Улица 1905 года,549451,True
Ramenky Realty,real_estate_agent,Москва,sale,flat,14,4,95.7,50000000.0,Раменки,Минская,522466,True
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,24,4,108.0,52100000.0,Хорошевский,Аэропорт,482407,True
Sapiro Estate,real_estate_agent,Москва,sale,flat,5,4,127.5,51990000.0,Тверской,Белорусская,407765,True
Homeapp,real_estate_agent,Москва,sale,flat,12,4,70.0,52900000.0,Хамовники,Спортивная,755714,True
Аллея недвижимости,real_estate_agent,Москва,sale,flat,27,4,120.0,53180000.0,Хорошево-Мневники,Народное Ополчение,443167,True
EstateLiga,real_estate_agent,Москва,sale,flat,41,4,99.2,52990000.0,Раменки,Кутузовская,534173,True
На Петровке,real_estate_agent,Москва,sale,flat,31,4,133.7,55000000.0,Очаково-Матвеевское,Давыдково,411369,True
ID 109135729,realtor,Москва,sale,flat,14,4,98.07,54948000.0,Раменки,Минская,560294,True
MadeState,real_estate_agent,Москва,sale,flat,24,4,122.9,55000000.0,Строгино,Строгино,447518,True
Времена года,real_estate_agent,Москва,sale,flat,13,4,91.88,55999999.0,Раменки,Минская,609491,True
ID 109135729,realtor,Москва,sale,flat,14,4,98.0,56000000.0,Раменки,Минская,571429,True
Homeapp,real_estate_agent,Москва,sale,flat,22,4,106.0,58000000.0,Донской,Ленинский проспект,547170,True
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,14,4,95.3,57800000.0,Раменки,Минская,606506,True
Ramenky Realty,real_estate_agent,Москва,sale,flat,21,4,126.3,58098000.0,Раменки,Аминьевская,460000,True
Времена года,real_estate_agent,Москва,sale,flat,14,4,88.7,57900000.0,Раменки,Минская,652762,True
Времена года,real_estate_agent,Москва,sale,flat,14,4,98.0,58000000.0,Раменки,Минская,591837,True
ID 109135729,realtor,Москва,sale,flat,14,4,95.0,57800000.0,Раменки,Минская,608421,True
FS PROPERTY,real_estate_agent,Москва,sale,flat,34,4,125.0,58500000.0,Ростокино,Ботанический сад,468000,True
CENTURY 21 RnB Estate,real_estate_agent,Москва,sale,flat,17,4,137.2,59000000.0,Тропарево-Никулино,Озёрная,430029,True
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,38,4,144.0,59000000.0,Раменки,Минская,409722,True
PEOPLE,real_estate_agent,Москва,sale,flat,14,4,96.2,60000000.0,Раменки,Минская,623701,True
ФСК Агент,real_estate_agent,Москва,sale,flat,48,4,104.8,59995000.0,Ростокино,Ботанический сад,572471,True
Славянский Двор Остоженка,real_estate_agent,Москва,sale,flat,32,4,145.0,59900000.0,Раменки,Минская,413103,True
Monumental Group,real_estate_agent,Москва,sale,flat,7,4,142.6,62000000.0,Таганский,Курская,434783,True
Времена года,real_estate_agent,Москва,sale,flat,28,4,132.9,63000000.0,Раменки,Раменки,474041,True
Homeapp,real_estate_agent,Москва,sale,flat,13,4,0.3,64000000.0,Раменки,Минская,213333333,True
ID 413522,realtor,Москва,sale,flat,13,4,102.3,63999000.0,Раменки,Минская,625601,True
ID 413522,realtor,Москва,sale,flat,14,4,96.1,64862369.0,Раменки,Минская,674947,True
Марина Круглянская,realtor,Москва,sale,flat,28,4,120.0,65000000.0,Филевский парк,Шелепиха,541667,True
Villagio Realty,real_estate_agent,Москва,sale,flat,14,4,88.0,64900000.0,Марьина роща,Марьина Роща,737500,True
MadeState,real_estate_agent,Москва,sale,flat,22,4,135.3,65000000.0,Черемушки,Профсоюзная,480414,True
TimeProperty,real_estate_agent,Москва,sale,flat,14,4,95.0,65000000.0,Раменки,Минская,684211,True
MadeState,real_estate_agent,Москва,sale,flat,31,4,167.0,65000000.0,Ломоносовский,Профсоюзная,389222,True
ID 413522,realtor,Москва,sale,flat,13,4,126.6,68000000.0,Раменки,Раменки,537125,True
MadeState,real_estate_agent,Москва,sale,flat,17,4,140.0,68000000.0,Можайский,Давыдково,485714,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,7,4,123.1,69000000.0,Пресненский,Маяковская,560520,True
Аврора Проперти,real_estate_agent,Москва,sale,flat,5,4,176.1,70000000.0,Тверской,Пушкинская,397501,True
Времена года,real_estate_agent,Москва,sale,flat,13,4,115.61,69999999.0,Раменки,Минская,605484,True
Monumental Group,real_estate_agent,Москва,sale,flat,8,4,132.0,71700000.0,Тверской,Маяковская,543182,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,8,4,132.3,72500000.0,Тверской,Маяковская,547997,True
Alliance Agency Real Estate,real_estate_agent,Москва,sale,flat,30,4,127.5,72500000.0,Якиманка,Октябрьская,568627,True
EstateLiga,real_estate_agent,Москва,sale,flat,20,4,151.0,74500000.0,Левобережный,Беломорская,493377,True
Оптима МСК,official_representative,Москва,sale,flat,4,4,121.4,74277500.0,Мещанский,Цветной бульвар,611841,True
Apple Real Estate,real_estate_agent,Москва,sale,flat,43,4,153.6,75000000.0,Фили-Давыдково,Славянский бульвар,488281,True
Upright Estate,real_estate_agent,Москва,sale,flat,14,4,160.0,75000000.0,Хорошевский,ЦСКА,468750,True
Level Estate,real_estate_agent,Москва,sale,flat,16,4,112.7,74900000.0,Замоскворечье,Серпуховская,664596,True
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,18,4,136.0,75000000.0,Пресненский,Москва-Сити,551471,True
PEOPLE,real_estate_agent,Москва,sale,flat,14,4,101.1,75000000.0,Раменки,Минская,741840,True
TimeProperty,real_estate_agent,Москва,sale,flat,24,4,99.6,75000000.0,Свиблово,Ботанический сад,753012,True
Место,real_estate_agent,Москва,sale,flat,8,4,129.3,77200000.0,Тверской,Маяковская,597061,True
PEOPLE,real_estate_agent,Москва,sale,flat,23,4,110.0,78500000.0,Можайский,Давыдково,713636,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,4,184.1,82200000.0,Басманный,Бауманская,446496,True
ID 109135729,realtor,Москва,sale,flat,15,4,102.0,83000000.0,Раменки,Раменки,813725,True
ID 413522,realtor,Москва,sale,flat,14,4,99.4,83000000.0,Раменки,Минская,835010,True
PEOPLE,real_estate_agent,Москва,sale,flat,26,4,122.0,83500000.0,Кунцево,Молодёжная,684426,True
Ramenky Realty,real_estate_agent,Москва,sale,flat,15,4,140.0,85000000.0,Даниловский,Шаболовская,607143,True
Monumental Group,real_estate_agent,Москва,sale,flat,11,4,115.0,85000000.0,Арбат,Смоленская,739130,True
Monumental Group,real_estate_agent,Москва,sale,flat,6,4,130.0,85000000.0,Мещанский,Трубная,653846,True
Дарья Румянцева,realtor,Москва,sale,flat,25,4,171.0,85500000.0,Аэропорт,Динамо,500000,True
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,29,4,144.0,87500000.0,Академический,Академическая,607639,True
Villagio Realty,real_estate_agent,Москва,sale,flat,14,4,125.0,89900000.0,Дорогомилово,Киевская,719200,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,76,4,186.0,93000000.0,Пресненский,Деловой центр,500000,True
ALVO Group,real_estate_agent,Москва,sale,flat,22,4,160.0,94000000.0,Пресненский,Москва-Сити,587500,True
Penny Lane Moscow,real_estate_agent,Москва,sale,flat,25,4,185.0,94850000.0,Проспект Вернадского,Новаторская,512703,True
PEOPLE,real_estate_agent,Москва,sale,flat,12,4,102.2,94170551.0,Раменки,Минская,921434,True
PEOPLE,real_estate_agent,Москва,sale,flat,23,4,188.0,95000000.0,Можайский,Давыдково,505319,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,12,4,148.7,96000000.0,Аэропорт,Динамо,645595,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,4,162.1,98500000.0,Покровское-Стрешнево,Стрешнево,607650,True
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,18,4,177.0,98000000.0,Хорошевский,ЦСКА,553672,True
Славянский Двор Остоженка,real_estate_agent,Москва,sale,flat,7,4,160.0,99936095.0,Хамовники,Боровицкая,624601,True
Homeapp,real_estate_agent,Москва,sale,flat,24,4,137.1,100000000.0,Хорошевский,ЦСКА,729395,True
На Петровке,real_estate_agent,Москва,sale,flat,4,4,95.0,100000000.0,Тверской,Пушкинская,1052632,True
Времена года,real_estate_agent,Москва,sale,flat,25,4,146.0,101500000.0,Раменки,Аминьевская,695205,True
TimeProperty,real_estate_agent,Москва,sale,flat,12,4,137.0,102000000.0,Раменки,Минская,744526,True
PEOPLE,real_estate_agent,Москва,sale,flat,12,4,136.8,102000000.0,Раменки,Минская,745614,True
Whitewill,real_estate_agent,Москва,sale,flat,13,4,140.2,105000000.0,Раменки,Ломоносовский проспект,748930,True
Аврора Проперти,real_estate_agent,Москва,sale,flat,5,4,123.0,110000000.0,Басманный,Красные ворота,894309,True
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,199.8,110000000.0,Тверской,Менделеевская,550551,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,4,192.0,115000000.0,Тверской,Пушкинская,598958,True
Smolenka Estate,real_estate_agent,Москва,sale,flat,14,4,199.4,120000000.0,Тверской,Менделеевская,601805,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,13,4,148.0,120884239.0,Раменки,Ломоносовский проспект,816785,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,21,4,105.0,125000000.0,Беговой,Динамо,1190476,True
Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,7,4,128.7,135000000.0,Пресненский,Арбатская,1048951,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,21,4,226.3,139900000.0,Пресненский,Баррикадная,618206,True
Whitewill,real_estate_agent,Москва,sale,flat,10,4,154.2,140000000.0,Басманный,Курская,907912,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,7,4,135.0,145000000.0,Пресненский,Арбатская,1074074,True
ID 413522,realtor,Москва,sale,flat,11,4,147.36,149000000.0,Хамовники,Спортивная,1011129,True
Аврора Проперти,real_estate_agent,Москва,sale,flat,61,4,136.35,150000000.0,Пресненский,Москва-Сити,1100110,True
Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,14,4,142.0,150000000.0,Хамовники,Киевская,1056338,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,7,4,126.0,151000000.0,Арбат,Арбатская,1198413,True
Prime,real_estate_agent,Москва,sale,flat,65,4,132.49,158988000.0,Пресненский,Москва-Сити,1200000,True
MadeState,real_estate_agent,Москва,sale,flat,14,4,150.0,160000000.0,Тверской,Охотный ряд,1066667,True
RND,real_estate_agent,Москва,sale,flat,17,4,250.0,160000000.0,Раменки,Поклонная,640000,True
ID 109135729,realtor,Москва,sale,flat,10,4,218.8,160000000.0,Пресненский,Краснопресненская,731261,True
PEOPLE,real_estate_agent,Москва,sale,flat,20,4,164.0,165000000.0,Пресненский,Белорусская,1006098,True
ЛюксДом,real_estate_agent,Москва,sale,flat,21,4,161.7,168000000.0,Пресненский,Улица 1905 года,1038961,True
Monumental Group,real_estate_agent,Москва,sale,flat,16,4,180.0,169800000.0,Пресненский,Улица 1905 года,943333,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,10,4,201.3,169990000.0,Аэропорт,Динамо,844461,True
Капиталъ-Недвижимость,real_estate_agent,Москва,sale,flat,5,4,185.0,173900000.0,Арбат,Арбатская,940000,True
Smolenka Estate,real_estate_agent,Москва,sale,flat,8,4,125.8,176120000.0,Пресненский,Пушкинская,1400000,True
ID 413522,realtor,Москва,sale,flat,7,4,176.0,180000000.0,Дорогомилово,Минская,1022727,True
Soul Estate,real_estate_agent,Москва,sale,flat,18,4,220.0,180000000.0,Дорогомилово,Студенческая,818182,True
Аврора Проперти,real_estate_agent,Москва,sale,flat,7,4,151.6,181920000.0,Замоскворечье,Павелецкая,1200000,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,15,4,195.0,185000000.0,Аэропорт,Динамо,948718,True
ID 413522,realtor,Москва,sale,flat,8,4,159.3,184000000.0,Дорогомилово,Минская,1155053,True
Istudio,real_estate_agent,Москва,sale,flat,10,4,180.0,185000000.0,Раменки,Минская,1027778,True
PEOPLE,real_estate_agent,Москва,sale,flat,7,4,178.7,184900000.0,Раменки,Минская,1034695,True
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,Москва,sale,flat,11,4,147.36,188900000.0,Хамовники,Спортивная,1281895,True
Центрис,real_estate_agent,Москва,sale,flat,11,4,147.36,189000000.0,Хамовники,Спортивная,1282573,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,6,4,170.0,192184799.0,Хамовники,Парк Культуры,1130499,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,57,4,180.0,200833115.0,Хорошевский,Аэропорт,1115740,True
ID 109135729,realtor,Москва,sale,flat,8,4,165.0,200000000.0,Таганский,Таганская,1212121,True
Капиталъ-Недвижимость,real_estate_agent,Москва,sale,flat,6,4,205.0,200000000.0,Замоскворечье,Третьяковская,975610,True
FS PROPERTY,real_estate_agent,Москва,sale,flat,5,4,220.9,211403279.0,Хамовники,Парк Культуры,957009,True
Monumental Group,real_estate_agent,Москва,sale,flat,4,4,257.3,222888888.0,Пресненский,Тверская,866261,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,4,151.0,226130000.0,Пресненский,Арбатская,1497550,True
Ramenky Realty,real_estate_agent,Москва,sale,flat,18,4,157.6,225432770.0,Хамовники,Фрунзенская,1430411,True
PEOPLE,real_estate_agent,Москва,sale,flat,7,4,166.0,229900000.0,Хамовники,Кропоткинская,1384940,True
Alpha Star Properties,real_estate_agent,Москва,sale,flat,44,4,240.0,239999000.0,Раменки,Минская,999996,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,10,4,169.0,243113771.0,Басманный,Курская,1438543,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,60,4,175.0,243000000.0,Пресненский,Деловой центр,1388571,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,7,4,230.7,245000000.0,Арбат,Арбатская,1061985,True
Славянский Двор Остоженка,real_estate_agent,Москва,sale,flat,11,4,169.0,243594233.0,Басманный,Курская,1441386,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,12,4,168.3,250000000.0,Хамовники,Фрунзенская,1485443,True
Аврора Проперти,real_estate_agent,Москва,sale,flat,7,4,142.0,250000000.0,Тверской,Театральная,1760563,True
Времена года,real_estate_agent,Москва,sale,flat,6,4,158.0,250000000.0,Замоскворечье,Новокузнецкая,1582278,True
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,Москва,sale,flat,8,4,173.9,260400000.0,Хамовники,Спортивная,1497412,True
Ramenky Realty,real_estate_agent,Москва,sale,flat,8,4,173.9,260400000.0,Хамовники,Спортивная,1497412,True
FS PROPERTY,real_estate_agent,Москва,sale,flat,14,4,210.0,280000000.0,Пресненский,Краснопресненская,1333333,True
Ашихмин и партнёры,real_estate_agent,Москва,sale,flat,8,4,188.5,288277199.0,Пресненский,Маяковская,1529322,True
ID 413522,realtor,Москва,sale,flat,8,4,201.6,288000000.0,Хамовники,Фрунзенская,1428571,True
PEOPLE,real_estate_agent,Москва,sale,flat,6,4,340.0,288277199.0,Якиманка,Добрынинская,847874,True
PEOPLE,real_estate_agent,Москва,sale,flat,7,4,267.3,296400000.0,Хамовники,Смоленская,1108866,True
Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,6,4,222.0,299000000.0,Хамовники,Фрунзенская,1346847,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,8,4,180.0,300000000.0,Пресненский,Улица 1905 года,1666667,True
ЛюксДом,real_estate_agent,Москва,sale,flat,15,4,135.8,300000000.0,Хамовники,Спортивная,2209131,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,6,4,167.0,300000000.0,Хамовники,Кропоткинская,1796407,True
Homeapp,real_estate_agent,Москва,sale,flat,5,4,197.5,316000000.0,Якиманка,Полянка,1600000,True
FS PROPERTY,real_estate_agent,Москва,sale,flat,8,4,180.0,335000000.0,Арбат,Арбатская,1861111,True
FS PROPERTY,real_estate_agent,Москва,sale,flat,8,4,261.0,336323399.0,Пресненский,Пушкинская,1288595,True
PEOPLE,real_estate_agent,Москва,sale,flat,7,4,285.35,350000000.0,Пресненский,Белорусская,1226564,True
Аврора Проперти,real_estate_agent,Москва,sale,flat,82,4,295.0,370000000.0,Пресненский,Деловой центр,1254237,True
PEOPLE,real_estate_agent,Москва,sale,flat,5,4,147.0,400000000.0,Хамовники,Кропоткинская,2721088,True
CapitalEstate,real_estate_agent,Москва,sale,flat,9,4,180.4,410000000.0,Хамовники,Спортивная,2272727,True
ID 413522,realtor,Москва,sale,flat,7,4,223.3,439900000.0,Хамовники,Спортивная,1969996,True
Ramenky Realty,real_estate_agent,Москва,sale,flat,7,4,173.6,451500000.0,Хамовники,Спортивная,2600806,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,12,4,230.0,460000000.0,Мещанский,Трубная,2000000,True
RND,real_estate_agent,Москва,sale,flat,21,4,230.0,460000000.0,Пресненский,Баррикадная,2000000,True
Славянский Двор Остоженка,real_estate_agent,Москва,sale,flat,7,4,252.3,486000000.0,Хамовники,Смоленская,1926278,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,9,4,283.4,500000000.0,Пресненский,Белорусская,1764291,True
Метриум Премиум Городская недвижимость,real_estate_agent,Москва,sale,flat,6,4,283.4,500000000.0,Пресненский,Белорусская,1764291,True
Ашихмин и партнёры,real_estate_agent,Москва,sale,flat,6,4,283.4,500000000.0,Пресненский,Белорусская,1764291,True
Центрис,real_estate_agent,Москва,sale,flat,11,4,303.0,518898959.0,Хамовники,Фрунзенская,1712538,True
FS PROPERTY,real_estate_agent,Москва,sale,flat,5,4,231.3,522008000.0,Красносельский,Тургеневская,2256844,True
Vesco Realty,real_estate_agent,Москва,sale,flat,9,4,247.3,663037559.0,Тверской,Маяковская,2681106,True
PEOPLE,real_estate_agent,Москва,sale,flat,12,4,270.6,720692999.0,Хамовники,Фрунзенская,2663315,True
Славянский Двор Остоженка,real_estate_agent,Москва,sale,flat,7,4,273.8,765000000.0,Хамовники,Смоленская,2794010,True
ID 18174647,realtor,Москва,sale,flat,31,5,246.7,289745400.0,Очаково-Матвеевское,Давыдково,1174485,True
Главстрой,developer,Москва,sale,flat,24,5,172.5,207000000.0,Филевский парк,Фили,1200000,True
Рента,real_estate_agent,Москва,sale,flat,9,5,234.8,125000000.0,Тверской,Новослободская,532368,True
ANT Development,developer,Москва,sale,flat,13,5,265.6,405328840.0,Дорогомилово,Парк Победы,1526087,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,12,5,303.0,534765000.0,Хамовники,Фрунзенская,1764901,True
VESPER,developer,Москва,sale,flat,21,5,363.3,629417250.0,Пресненский,Улица 1905 года,1732500,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,5,5,155.0,85000000.0,Арбат,Смоленская,548387,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,5,194.0,310000000.0,Пресненский,Пушкинская,1597938,True
Sminex,developer,Москва,sale,flat,14,5,227.4,834760000.0,Якиманка,Полянка,3670888,True
Kalinka Group,real_estate_agent,Москва,sale,flat,12,5,290.0,280000000.0,Раменки,Минская,965517,True
Capital Group,developer,Москва,sale,flat,18,5,221.0,252824000.0,Дорогомилово,Москва-Сити,1144000,True
Verges of estate,real_estate_agent,Москва,sale,flat,31,5,212.0,115000000.0,Очаково-Матвеевское,Давыдково,542453,True
СТ Тауэрс,developer,Москва,sale,flat,66,5,588.1,1058580000.0,Пресненский,Москва-Сити,1800000,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,31,5,212.0,115000000.0,Очаково-Матвеевское,Давыдково,542453,True
Hutton Development,developer,Москва,sale,flat,6,5,236.7,497070000.0,Якиманка,Новокузнецкая,2100000,True
ID 112609323,realtor,Москва,sale,flat,6,5,310.15,325657500.0,Хамовники,Парк Культуры,1050000,True
VESPER,developer,Москва,sale,flat,5,5,590.3,2361200000.0,Пресненский,Маяковская,4000000,True
MC REALTY,real_estate_agent,Москва,sale,flat,75,5,304.0,260000000.0,Пресненский,Деловой центр,855263,True
КОРТРОС,developer,Москва,sale,flat,49,5,206.56,206560000.0,Марьина роща,Марьина Роща,1000000,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,75,5,294.7,294700000.0,Пресненский,Деловой центр,1000000,True
Стадион Спартак,developer,Москва,sale,flat,13,5,180.2,129437660.0,Покровское-Стрешнево,Спартак,718300,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,76,5,303.4,260000000.0,Пресненский,Деловой центр,856955,True
Sminex,developer,Москва,sale,flat,10,5,212.4,202250000.0,Пресненский,Улица 1905 года,952213,True
Kalinka Group,real_estate_agent,Москва,sale,flat,24,5,182.0,145000000.0,Раменки,Университет,796703,True
Концерн КРОСТ,developer,Москва,sale,flat,19,5,126.2,60954600.0,Щукино,Октябрьское поле,483000,True
Whitewill,real_estate_agent,Москва,sale,flat,3,5,311.0,265000000.0,Хамовники,Кропоткинская,852090,True
Apple Real Estate,real_estate_agent,Москва,sale,flat,7,5,136.0,58500000.0,Мещанский,Рижская,430147,True
Monumental Group,real_estate_agent,Москва,sale,flat,6,5,163.0,145845000.0,Басманный,Красные ворота,894755,True
Whitewill,real_estate_agent,Москва,sale,flat,18,5,125.0,84000000.0,Алексеевский,Алексеевская,672000,True
ЛюксДом,real_estate_agent,Москва,sale,flat,57,5,663.0,217900000.0,Хорошевский,Аэропорт,328658,True
Азиза Шажен-Батуева,realtor,Москва,sale,flat,8,5,110.0,42500000.0,Академический,Академическая,386364,True
Sminex,developer,Москва,sale,flat,6,5,392.2,1392320000.0,Басманный,Чистые пруды,3550025,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,7,5,398.1,170000000.0,Крылатское,Крылатское,427028,True
СТОЛИЦА. Москва и МО,real_estate_agent,Москва,sale,flat,12,5,95.0,34000000.0,Басманный,Бауманская,357895,True
Regions Development,developer,Москва,sale,flat,24,5,159.9,73477782.0,Нагатинский затон,Технопарк,459523,True
Whitewill,real_estate_agent,Москва,sale,flat,3,5,325.0,330000000.0,Тверской,Новослободская,1015385,True
Homeapp,real_estate_agent,Москва,sale,flat,17,5,120.0,39800000.0,Коньково,Коньково,331667,True
Донстрой,developer,Москва,sale,flat,21,5,148.7,72595340.0,Хорошево-Мневники,Мнёвники,488200,True
Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,11,5,219.4,330000000.0,Хамовники,Фрунзенская,1504102,True
СЕДЬМОЕ НЕБО,real_estate_agent,Москва,sale,flat,8,5,105.0,40000000.0,Алексеевский,ВДНХ,380952,True
Донстрой,developer,Москва,sale,flat,16,5,180.4,142516000.0,Раменки,Мичуринский проспект,790000,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,11,5,179.2,104000000.0,Басманный,Курская,580357,True
ГОРОБМЕН,real_estate_agent,Москва,sale,flat,17,5,135.0,35000000.0,Тропарево-Никулино,Озёрная,259259,True
Основа,developer,Москва,sale,flat,19,5,211.9,190710000.0,Красносельский,Красные ворота,900000,True
RND,real_estate_agent,Москва,sale,flat,10,5,178.0,137900000.0,Дорогомилово,Студенческая,774719,True
